Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine,Unnamed: 6,Unnamed: 7,Unnamed: 8,30
usq,-18.8511199951171,-43.2984199523925,2.22233343124389,-3.68484210968017,3031823023,,,,
usq,-20.6319351196289,-44.9327011108398,2.57196617126464,-3.96963047981262,3031839690,,,,
usq,-22.6405143737793,-46.3481941223144,2.64937829971313,-4.16653537750244,3031856357,,,,
usq,-24.8094673156738,-47.9577674865722,2.60308623313903,-4.31980180740356,3031873024,,,,
usq,-26.9346389770507,-49.5527610778808,2.65924835205078,-4.12653684616088,3031889691,,,,
usq,-28.8694076538085,-50.9015197753906,2.67111730575561,-3.23061227798461,3031906358,,,,
usq,-30.3744468688964,-51.8589935302734,2.11535692214965,-2.61610436439514,3031923025,,,,
usq,-31.6948127746582,-52.4623413085937,1.18934106826782,-2.34105348587036,3031939692,,,,
usq,-33.1384048461914,-52.9473762512207,0.495277285575866,-2.96970033645629,3031956359,,,,
usq,-35.0013885498046,-53.5098190307617,0.467269957065582,-2.89970064163208,3031973026,,,,
usq,-37.1693420410156,-53.8934631347656,0.672002434730529,-2.34984493255615,3031989693,,,,
usq,-39.6280059814453,-54.1308555603027,0.668322265148162,-2.18750190734863,3032006360,,,,
usq,-42.1009063720703,-54.395652770996,0.550800442695617,-3.10795140266418,3032023027,,,,
usq,-44.2620010375976,-55.0432586669921,0.366055250167846,-2.88887000083923,3032039694,,,,
usq,-45.8228683471679,-55.8005142211914,0.35965546965599,-3.36391925811767,3032056361,,,,
usq,-47.4240570068359,-56.1568756103515,0.578894913196563,-3.50712084770202,3032073028,,,,
usq,-48.6027297973632,-55.9978103637695,0.525618910789489,-4.12977933883667,3032089695,,,,
usq,-49.456298828125,-55.4461479187011,0.874967694282531,-4.32219314575195,3032106362,,,,
usq,-49.8843917846679,-54.5881690979003,0.942364573478698,-3.25551772117614,3032123029,,,,
usq,-49.7179183959961,-53.6305923461914,1.23571288585662,-2.23820209503173,3032139696,,,,
usq,-47.9608306884765,-52.9896507263183,0.696851313114166,-2.91029548645019,3032156363,,,,
usq,-45.7081985473632,-52.7590293884277,0.0613439567387104,-3.37714076042175,3032173030,,,,
usq,-44.9929046630859,-52.8416175842285,0.376253306865692,-3.05866765975952,3032189697,,,,
usq,-45.4947128295898,-53.1552658081054,2.24506497383117,-3.15504360198974,3032206364,,,,
usq,-46.5251235961914,-53.341869354248,3.43559885025024,-3.37911462783813,3032223031,,,,
usq,-47.4989624023437,-52.9984664916992,3.8670642375946,-3.76930117607116,3032239698,,,,
usq,-48.125244140625,-52.0335540771484,3.97969412803649,-4.38635396957397,3032256365,,,,
usq,-48.2603530883789,-50.695442199707,4.68306922912597,-4.82283449172973,3032273032,,,,
usq,-47.8202972412109,-49.4799995422363,3.69997859001159,-4.85502052307128,3032289699,,,,
usq,-46.9083175659179,-48.4948501586914,1.9655178785324,-4.66694831848144,3032306366,,,,
usq,-45.8578262329101,-47.4430427551269,0.564104199409484,-4.46793985366821,3032323033,,,,
usq,-44.7730026245117,-46.04390335083,-0.0424037985503673,-4.08738994598388,3032339700,,,,
usq,-43.4837951660156,-44.1165237426757,-0.039819099009037,-3.93277692794799,3032356367,,,,
usq,-42.1619873046875,-41.8482627868652,0.176686480641365,-3.92953395843505,3032373034,,,,
usq,-41.2877883911132,-39.6298713684082,0.92358922958374,-3.599050283432,3032389701,,,,
usq,-40.8121490478515,-37.832893371582,1.54641067981719,-3.01488471031188,3032406368,,,,
usq,-40.1061019897461,-36.61181640625,2.54040718078613,-2.90944004058837,3032423035,,,,
usq,-38.8607101440429,-35.7559280395507,3.73862266540527,-3.40173363685607,3032439702,,,,
usq,-37.2996215820312,-35.0006065368652,4.26401758193969,-3.93168258666992,3032456369,,,,
