Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
bas,-23.865348815918,-16.7591934204102,10.3853731155395,4.29678058624267,1181760078,,,,,,,,,,,
bas,-24.8416976928711,-20.8136444091797,0.6283329101897317,-12.201498016826328,1181776745,,,,,,,,,,,
bas,-25.456901550293,-22.2263908386231,2.1775597948479435,-11.603674586778455,1181793412,,,,,,,,,,,
bas,-26.0263214111329,-23.2858619689942,3.843283924782355,-10.955499405039578,1181810079,,,,,,,,,,,
bas,-30.2381439208985,-24.0892906188965,5.659224714121275,-10.226095248949726,1181826746,,,,,,,,,,,
bas,-35.456657409668,-24.6734008789063,7.53083410008334,-9.388373826305347,1181843413,,,,,,,,,,,
bas,-38.7563133239747,-25.7046012878418,9.257461296100647,-8.436263210470564,1181860080,,,,,,,,,,,
bas,-40.4586563110352,-26.717945098877,10.600159841589136,-7.403909053896977,1181876747,,,,,,,,,,,
bas,-42.331413269043,-27.8526153564454,11.357843670863817,-6.3687354245096754,1181893414,,,,,,,,,,,
bas,-44.3913383483887,-28.7962989807129,11.421265014027437,-5.428731112078565,1181910081,,,,,,,,,,,
bas,-46.2950801849366,-29.1921463012696,10.793684153603527,-4.661684950713554,1181926748,,,,,,,,,,,
bas,-48.1750144958497,-29.0011520385743,9.581192765218848,-4.086965330166063,1181943415,,,,,,,,,,,
bas,-49.7790679931641,-28.3083381652832,7.9612763619388405,-3.650214337170652,1181960082,,,,,,,,,,,
bas,-50.6572532653809,-27.1529121398926,6.140982410401737,-3.2395747593147846,1181976749,,,,,,,,,,,
bas,-50.5980319976807,-25.4821586608887,4.316851584706315,-2.7272964096891728,1181993416,,,,,,,,,,,
bas,-49.5101680755616,-23.4627113342286,2.645524312339565,-2.020726863566962,1182010083,,,,,,,,,,,
bas,-47.6073093414307,-20.9713592529297,1.2287869521421309,-1.1042056295815343,1182026750,,,,,,,,,,,
bas,-45.1757488250733,-17.4337348937989,0.11331385884299211,-0.05666075063640358,1182043417,,,,,,,,,,,
bas,-42.2779235839844,-13.3120613098145,-0.69680701664906,0.9628927273566217,1182060084,,,,,,,,,,,
bas,-38.8256874084473,-9.5154418945313,-1.2195403129770683,1.759420774236561,1182076751,,,,,,,,,,,
bas,-34.9589080810547,-6.8344650268555,-1.4741499437214196,2.1622720620763825,1182093418,,,,,,,,,,,
bas,-31.0135383605957,-4.97779846191411,-1.468707716379978,2.0813019113621385,1182110085,,,,,,,,,,,
bas,-27.1087951660157,-3.4290771484375,-1.2013674577435023,1.5371079843041262,1182126752,,,,,,,,,,,
bas,-23.7680625915528,-3.0336380004883,-0.6747360421847933,0.6509607824731973,1182143419,,,,,,,,,,,
bas,-22.2358016967774,-3.9702529907227,0.08484139211847444,-0.404751252754672,1182160086,,,,,,,,,,,30.0
bas,-21.8821258544922,-6.0558700561524,1.0163179796770756,-1.4757626775888164,1182176753,,,,,,,,,,,
bas,-22.7766304016114,-8.2135734558106,2.0324090257862437,-2.4817794175405665,1182193420,,,,,,,,,,,
bas,-24.838249206543,-9.6527252197266,3.047989443117813,-3.429117321792905,1182210087,,,,,,,,,,,
bas,-27.4110908508301,-10.8488960266114,4.015002012637062,-4.373337789332914,1182226754,,,,,,,,,,,
bas,-29.3534812927247,-12.7609558105469,4.94234994446004,-5.355957205852803,1182243421,,,,,,,,,,,
bas,-30.7000694274903,-15.8891372680665,5.8843352383805,-6.356245341267569,1182260088,,,,,,,,,,,
bas,-31.5488929748536,-18.8304901123047,6.898947784193606,-7.287811961815161,1182276755,,,,,,,,,,,
bas,-33.9110908508301,-20.7661094665528,7.99687449342277,-8.036794921868285,1182293422,,,,,,,,,,,
bas,-37.4571533203125,-19.522804260254,9.10934233434389,-8.509586242159692,1182310089,,,,,,,,,,,
bas,-39.6519088745118,-19.1075515747071,10.092721938862306,-8.658107182177853,1182326756,,,,,,,,,,,
bas,-40.1581459045411,-19.5618629455567,10.76792348156473,-8.477772875261476,1182343423,,,,,,,,,,,
bas,-38.9002914428711,-19.6705894470215,10.975712751165855,-7.996962595392981,1182360090,,,,,,,,,,,
bas,-37.081657409668,-19.7922744750977,10.623935666137468,-7.273473627480779,1182376757,,,,,,,,,,,
bas,-36.0948600769043,-20.1244697570801,9.71014074001426,-6.3942414295247305,1182393424,,,,,,,,,,,
bas,-35.0424499511719,-20.7709312438965,8.31680812302625,-5.465655496220128,1182410091,,,,,,,,,,,
bas,-32.9760932922364,-21.5353660583497,6.588112692448793,-4.590485440914307,1182426758,,,,,,,,,,,
bas,-30.4550361633301,-21.9209785461426,4.702337601520403,-3.841177578605454,1182443425,,,,,,,,,,,
bas,-28.3061790466309,-21.9609146118165,2.851508639207438,-3.245003058743355,1182460092,,,,,,,,,,,
bas,-26.4481964111329,-21.5093841552735,1.2305146437632684,-2.7905438433416876,1182476759,,,,,,,,,,,
bas,-24.8514823913575,-20.5389709472657,0.02746929872117786,-2.4518942908485135,1182493426,,,,,,,,,,,
bas,-23.6960983276368,-19.0162582397461,-0.5959451889791615,-2.21586132934582,1182510093,,,,,,,,,,,
bas,-23.6083450317383,-16.9594802856446,-0.5373315763293448,-2.0957180259966357,1182526760,,,,,,,,,,,
bas,-24.7889022827149,-13.8336944580079,0.21018042774593632,-2.1228010740884904,1182543427,,,,,,,,,,,
bas,-26.0262641906739,-10.6169738769532,1.5358718474888622,-2.3187608999151657,1182560094,,,,,,,,,,,
bas,-27.6041831970215,-8.3278427124024,3.2187382601155905,-2.660777688788326,1182576761,,,,,,,,,,,
bas,-29.0318641662598,-6.9346618652344,4.96932044758566,-3.0563576250794107,1182593428,,,,,,,,,,,
bas,-30.909652709961,-6.3846969604493,6.498330453141254,-3.342118281112054,1182610095,,,,,,,,,,,
bas,-31.7635688781739,-6.2783699035645,7.591908204756879,-3.3126549562160825,1182626762,,,,,,,,,,,
bas,-32.6238632202149,-6.3531188964844,8.166031421018658,-2.7741535476919035,1182643429,,,,,,,,,,,
