Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
iw,-86.0432434082031,-41.767780303955,69.3030700683593,17.7730808258056,3686529035
iw,-84.9808502197265,-42.3906478881835,57.370684200866904,31.041520898601703,3686545702
iw,-84.0347824096679,-43.2157669067382,55.7689038468401,40.07691077803936,3686562369
iw,-83.166748046875,-44.4167861938476,53.07802633013403,47.666253860626234,3686579036
iw,-82.3893127441406,-45.6353073120117,48.263514491954616,52.71658570706057,3686595703
iw,-81.6839523315429,-46.5054359436035,40.34464748260035,54.745897832951336,3686612370
iw,-81.0617141723632,-47.4629592895507,28.533201468372116,53.97502426640223,3686629037
iw,-80.6608352661132,-48.6302490234375,12.439777125412437,51.25274901569945,3686645704
iw,-80.5346298217773,-50.1556091308593,-7.721257787110871,47.84499344254055,3686662371
iw,-80.8390808105468,-51.239818572998,-31.02066293624343,45.13202193348282,3686679038
iw,-81.7572631835937,-51.41064453125,-55.87456554712105,44.267509732602484,3686695705
iw,-83.3787231445312,-51.8557662963867,-80.3007506262156,45.87946235066199,3686712372
iw,-85.5945587158203,-52.792610168457,-102.32141439405224,49.91389660323654,3686729039
iw,-88.0278167724609,-54.1143951416015,-120.39639297968269,55.69313904585456,3686745706
iw,-87.7342758178711,-55.5126914978027,-133.74495362097437,62.17451020614581,3686762373
iw,-85.0932006835937,-57.0512580871582,-142.44776850139468,68.30347919269347,3686779040
iw,-82.2574691772461,-58.431900024414,-147.30373709528632,73.31911971799893,3686795707
iw,-79.4238586425781,-59.6697769165039,-149.50969313805888,76.90611899679202,3686812374
iw,-76.7888870239257,-60.8741760253906,-150.28806435945285,79.16704199062127,3686829041
iw,-74.2898635864257,-62.0539627075195,-150.5847446935245,80.46502850029849,3686845708
iw,-71.6242523193359,-63.3280601501464,-150.90856148388397,81.22672743968529,3686862375
iw,-68.8960876464843,-64.695442199707,-151.31729056564532,81.78928612915274,3686879042
iw,-66.254898071289,-66.0672607421875,-151.5057014765177,82.33722672491648,3686895709
iw,-63.8354148864746,-67.5296401977539,-150.9382296161992,82.92827678281633,3686912376
iw,-61.3255233764648,-69.0150527954101,-148.9896950329292,83.57147705098197,3686929043
iw,-58.505256652832,-70.4561233520507,-145.08518404667396,84.30631394859017,3686945710
iw,-55.6697158813476,-71.8336410522461,-138.83473628889274,85.23936743247681,3686962377
iw,-53.2245864868164,-73.1376113891601,-130.13743792366145,86.51962279781938,3686979044
iw,-51.2882461547851,-74.4253921508789,-119.21275673082009,88.26438425581725,3686995711
iw,-49.6501121520996,-75.7726745605468,-106.53376966911094,90.47129302617087,3687012378
iw,-48.2794723510742,-77.1436386108398,-92.682746543829,92.9584695544896,3687029045
iw,-47.146671295166,-78.4857559204101,-78.191216956459,95.36305441242327,3687045712
iw,-46.351993560791,-79.7290267944336,-63.43578278319138,97.20530925153979,3687062379
iw,-45.6976280212402,-80.8316802978515,-48.63374601082067,98.00072782650959,3687079046
iw,-45.0178527832031,-81.7858505249023,-33.93330168360993,97.38395379035931,3687095713
iw,-44.6936073303222,-82.3631057739257,-19.54348799953878,95.20022476099302,3687112380
iw,-44.7966842651367,-82.4980239868164,-5.8256674634693955,91.52565607638861,3687129047
iw,-45.3030624389648,-82.3026504516601,6.709945407817176,86.59838689267815,3687145714
iw,-45.9034271240234,-81.8700866699218,17.502114597577663,80.67434520992188,3687162381
iw,-46.6910362243652,-81.3030624389648,26.076985519651526,73.85279736227582,3687179048
iw,-47.6446533203125,-80.7571182250976,32.1596605345024,65.93495812257184,3687195715
iw,-48.5035057067871,-80.2852783203125,35.71944392411548,56.3764022861354,3687212382
iw,-49.3376121520996,-79.8689956665039,36.95287150229064,44.37022382084266,3687229049
iw,-50.2249069213867,-79.5375900268554,36.24000697979107,29.057281247547717,3687245716
iw,-51.3513565063476,-79.4164123535156,34.11260027534065,9.81345871307778,3687262383
iw,-52.9224662780761,-79.6130447387695,31.246397622231704,-13.47064972333633,3687279050
iw,-54.8728408813476,-80.149169921875,28.450247562435223,-40.20868674579678,3687295717
iw,-56.2741470336914,-81.0938262939453,26.601157929152116,-69.10181176927095,3687312384
iw,-56.0591964721679,-82.4764785766601,26.493383012655258,-98.30492343108047,3687329051
iw,-55.8715667724609,-84.081298828125,28.631036472301208,-125.74120774169965,3687345718
iw,-56.5279502868652,-85.1788711547851,33.058188707377404,-149.48581831833712,3687362385
iw,-57.8958663940429,-84.7639694213867,39.32957232048732,-168.11696102609667,3687379052
iw,-59.7449760437011,-82.80810546875,46.65677296242556,-180.941374834756,3687395719
iw,-61.5460357666015,-79.9972076416015,54.16482865230756,-188.0396505646521,3687412386
iw,-62.9378509521484,-77.1684341430664,61.13671513531505,-190.13212976201504,3687429053
iw,-64.0260848999023,-74.4186477661132,67.14464557455486,-188.32093743424758,3687445720
iw,-65.1896286010742,-71.6285934448242,72.04271357549571,-183.80005097565868,3687462387
iw,-66.6377944946289,-68.6475524902343,75.86750372239982,-177.62554876798907,3687479054
iw,-68.1391372680664,-65.4935302734375,78.71852404145926,-170.5961132281386,3687495721
iw,-69.5946273803711,-62.4735221862793,80.6697937385829,-163.23051622319755,3687512388
iw,-71.076416015625,-59.9800720214843,81.73106908682453,-155.78670451171374,3687529055
iw,-72.6240081787109,-58.0232963562011,81.8577818586655,-148.27680492130463,3687545722
iw,-74.2087326049804,-56.0555458068847,81.00065849752097,-140.48148808624515,3687562389
iw,-75.7715148925781,-53.7216110229492,79.17667664366202,-132.0062316525203,3687579056
iw,-77.2674865722656,-51.2938766479492,76.53230058614304,-122.40921152631533,3687595723
iw,-78.655158996582,-49.0938339233398,73.36827284492679,-111.37400149036179,3687612390
iw,-79.9483795166015,-47.4509849548339,70.10829356884926,-98.85189836469897,3687629057
iw,-81.1797332763671,-46.0871124267578,67.21603963055786,-85.10314178686734,3687645724
iw,-82.3840255737304,-45.232006072998,65.08503234819334,-70.62077640606056,3687662391
iw,-83.5697784423828,-44.5398788452148,63.935642472630676,-55.98423584306431,3687679058
iw,-84.7638931274414,-43.7976989746093,63.75129431115657,-41.72034286734983,3687695725
iw,-86.0008087158203,-43.2048568725585,64.27447098141313,-28.23284934348366,3687712392
iw,-87.2473602294921,-43.0342330932617,65.0661937138578,-15.814261142985094,3687729059
iw,-88.4632873535156,-42.8130645751953,65.61391267262701,-4.707723471692451,3687745726
iw,-89.4582366943359,-42.9453239440918,65.4563509527524,4.833482087965853,3687762393
iw,-88.5891647338867,-43.3544197082519,64.28443081780284,12.531986944320595,3687779060
iw,-87.3997802734375,-43.7367401123046,61.98010770733105,18.132550847472867,3687795727
iw,-86.3892517089843,-44.2496032714843,58.574104561772046,21.490252796944382,3687812394
iw,-85.4784851074218,-44.8841285705566,54.13694852767228,22.660825895300373,3687829061
iw,-84.6562118530273,-45.3663101196289,48.651325221308625,21.952416734998863,3687845728
iw,-83.9114456176757,-45.7034683227539,41.92804353439578,19.916905795132013,3687862395
iw,-83.2930221557617,-45.9797554016113,33.61278387444244,17.287172417794586,3687879062
iw,-82.8218688964843,-46.3412208557128,23.29313533656676,14.887578611575789,3687895729
iw,-82.5398559570312,-46.9327278137207,10.672584012274655,13.543571713745798,3687912396
iw,-82.5052795410156,-47.673225402832,-4.252642457882678,13.99428440353508,3687929063
iw,-82.8000411987304,-48.1643371582031,-21.085464401034432,16.792094257782825,3687945730
iw,-83.5082550048828,-48.3160705566406,-39.04090856755685,22.181435740557,3687962397
iw,-84.741340637207,-48.5822944641113,-57.09102646275926,29.987587037731473,3687979064
iw,-86.4278488159179,-49.4095344543457,-74.20168611795465,39.58205226851431,3687995731
iw,-87.942626953125,-50.8924217224121,-89.58003506395815,49.98208595235546,3688012398
iw,-87.2785415649414,-52.334114074707,-102.84078607512839,60.0788740782736,3688029065
iw,-84.9844436645507,-53.7855529785156,-114.02974638981173,68.91344026953745,3688045732
iw,-82.3592071533203,-55.218162536621,-123.5035120297929,75.88894416573869,3688062399
iw,-79.6962661743164,-56.5028572082519,-131.72498254353948,80.84355175871981,3688079066
iw,-77.2223663330078,-57.7275085449218,-139.0638253070526,83.98054525227235,3688095733
iw,-74.8140335083007,-59.0254440307617,-145.67624022555373,85.71518275172068,3688112400
iw,-72.2420196533203,-60.4597511291503,-151.49074088328467,86.52092300110883,3688129067
iw,-69.6039733886718,-61.9463882446289,-156.272988123532,86.83774361463624,3688145734
iw,-66.9938430786132,-63.5196380615234,-159.71138970205627,87.05993085636635,3688162401
iw,-64.4424362182617,-65.107307434082,-161.47237406531497,87.57541568797335,3688179068
iw,-61.9045066833496,-66.7465591430664,-161.21273890367416,88.80328471207328,3688195735
iw,-59.1770515441894,-68.3054885864257,-158.57761775184403,91.17808490123635,3688212402
iw,-56.4888763427734,-69.8416442871093,-153.22627108231887,95.05594211336947,3688229069
iw,-53.9106864929199,-71.3492431640625,-144.90551138398916,100.55795978858701,3688245736
iw,-51.6853103637695,-72.8428878784179,-133.55074662532837,107.40559737868749,3688262403
iw,-49.6126708984375,-74.3819732666015,-119.367290149951,114.82463890924753,3688279070
iw,-48.029441833496,-76.0444259643554,-102.84813445241282,121.58731286643516,3688295737
iw,-46.7858772277832,-77.8256378173828,-84.71493184903825,126.2232008986789,3688312404
iw,-45.7937088012695,-79.5635910034179,-65.80633521094431,127.36766644558517,3688329071
iw,-45.2245140075683,-80.9834365844726,-46.959402927719964,124.15307584788782,3688345738
iw,-44.7325363159179,-81.8276443481445,-28.923547224126427,116.51116492658001,3688362405
iw,-44.3783416748046,-82.112060546875,-12.319104525435042,105.26636612407168,3688379072
iw,-44.5102462768554,-82.0033340454101,2.3752185739167486,91.96257625875492,3688395739
iw,-44.8360595703125,-81.7303466796875,14.830264868434297,78.45895033288488,3688412406
iw,-45.3525848388671,-81.3929214477539,24.879832535863493,66.41586725346593,3688429073
iw,-46.1313209533691,-80.9475708007812,32.528605395794955,56.83159976898248,3688445740
