Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
brs,-44.742416381835895,-21.803653717041,-0.241928428411483,-0.504785656929016,2113521324,,,,
brs,-44.456153869628906,-23.6552219390869,-1.79682493209838,-0.529512643814086,2113537991,,,,
brs,-44.1695480346679,-24.873664855957,-2.41837644577026,-1.43537962436676,2113554658,,,,
brs,-44.243217468261705,-25.4875030517578,-2.36182761192321,-1.5064080953598,2113571325,,,,
brs,-44.5802764892578,-25.8839931488037,-1.31852841377258,-0.808153808116912,2113587992,,,,
brs,-44.6621170043945,-26.0485343933105,-0.0167638510465621,0.4777552485466,2113604659,,,,
brs,-44.535057067871094,-25.8753757476806,0.625892281532287,1.43692684173583,2113621326,,,,
brs,-44.581474304199205,-25.4402427673339,-0.341287493705749,1.90868520736694,2113637993,,,,
brs,-45.2481689453125,-24.652114868164,-0.940309226512908,-0.129566371440887,2113654660,,,,30.0
brs,-46.294158935546804,-23.4508171081542,-0.106199316680431,-4.51580953598022,2113671327,,,,
brs,-46.723045349121094,-21.8710613250732,0.667147278785705,-6.63314199447631,2113687994,,,,
brs,-46.822608947753906,-20.5324611663818,-0.732347071170806,-7.72522783279418,2113704661,,,,
brs,-47.280776977539006,-20.1344585418701,-0.726563930511474,-5.64839935302734,2113721328,,,,
brs,-48.169975280761705,-20.1198997497558,1.56926953792572,-3.745050907135,2113737995,,,,
brs,-49.5339736938476,-20.6344909667968,2.96550559997558,-2.41275596618652,2113754662,,,,
brs,-50.816009521484304,-21.0541534423828,2.1983745098114,-0.261335134506225,2113771329,,,,
brs,-51.230125427246094,-20.729320526123,0.720200598239898,2.05515909194946,2113787996,,,,
brs,-50.9219131469726,-19.962438583374,-0.387231439352035,2.09027862548828,2113804663,,,,
brs,-50.071304321289006,-18.5842819213867,-1.39925062656402,3.39383840560913,2113821330,,,,
brs,-48.9174880981445,-17.7545337677001,-1.10407841205596,3.88653707504272,2113837997,,,,
brs,-47.188179016113196,-17.8207836151123,1.41272556781768,2.3054871559143,2113854664,,,,
brs,-45.20684814453119,-19.2529640197753,2.2476749420166,1.64250254631042,2113871331,,,,
brs,-42.093353271484304,-20.5019912719726,2.76536464691162,2.75625467300415,2113887998,,,,
brs,-38.530097961425696,-21.4524230957031,2.48643159866333,3.7174744606018,2113904665,,,,
brs,-35.168716430664006,-22.4433059692382,1.14170479774475,3.92456007003784,2113921332,,,,
brs,-31.874870300292898,-23.5702629089355,-0.592756450176239,2.48526144027709,2113937999,,,,
brs,-29.5408897399902,-24.2346248626709,-0.180155470967292,1.95054399967193,2113954666,,,,
brs,-28.2377052307128,-24.9222984313964,0.45638307929039,1.81152379512786,2113971333,,,,
brs,-27.186351776122997,-25.4947814941406,3.07306742668151,1.13840913772583,2113988000,,,,
brs,-25.3024101257324,-26.9464263916015,6.62495517730712,0.638685643672943,2114004667,,,,
brs,-23.486083984375,-28.2693424224853,9.75627899169921,-0.569492399692535,2114021334,,,,
brs,-22.197113037109297,-29.2510223388671,8.53166961669921,-1.58447861671447,2114038001,,,,
brs,-20.482513427734297,-29.6090660095214,6.64366865158081,-1.72718906402587,2114054668,,,,
brs,-19.1551551818847,-29.8365249633789,4.7381682395935,-2.96533441543579,2114071335,,,,
brs,-20.3582801818847,-31.2903976440429,4.19811105728149,-2.3159441947937,2114088002,,,,
brs,-23.5258827209472,-34.6759338378906,4.40924501419067,-1.55207407474517,2114104669,,,,
brs,-27.3994750976562,-39.0499839782714,4.06031942367553,-1.95577561855316,2114121336,,,,
brs,-31.837329864501903,-42.1628761291503,3.69785737991333,-3.08257436752319,2114138003,,,,
brs,-34.628837585449205,-43.7973403930664,3.31402611732482,-3.79144430160522,2114154670,,,,
brs,-34.9890060424804,-44.8791732788085,3.48514556884765,-3.86274433135986,2114171337,,,,
brs,-35.1742401123046,-45.1343307495117,3.5629186630249,-4.19564914703369,2114188004,,,,
brs,-35.677841186523395,-50.3229713439941,2.3160924911499,-11.4042224884033,2114204671,,,,
brs,-35.7997207641601,-57.7134170532226,2.52869510650634,-9.16266345977783,2114221338,,,,
brs,-36.261161804199205,-59.6478462219238,3.14592194557189,-10.8962287902832,2114238005,,,,
brs,-37.0875549316406,-60.7579536437988,0.986542403697967,-6.73926496505737,2114254672,,,,
brs,-37.8930206298828,-61.7212219238281,1.29735553264617,4.11123371124267,2114271339,,,,
brs,-38.351951599121094,-61.1090621948242,1.05645418167114,4.89772224426269,2114288006,,,,
brs,-38.021949768066406,-57.77534866333,4.22016716003418,1.16876983642578,2114304673,,,,
brs,-35.0382385253906,-48.1462821960449,-1.15845024585723,-5.48181200027465,2114321340,,,,
brs,-32.524127960205,-41.4689559936523,6.10937309265136,-7.0672640800476,2114338007,,,,
brs,-32.7366065979003,-42.0592384338378,-3.15158343315124,-8.28858375549316,2114354674,,,,
brs,-32.8691253662109,-41.5137062072753,20.3130931854248,-8.52433776855468,2114371341,,,,
brs,-37.888160705566406,-39.5278091430664,-3.03572249412536,-14.3203382492065,2114388008,,,,
brs,-48.1997909545898,-37.1721305847168,-23.8505001068115,-21.6135330200195,2114404675,,,,
brs,-36.0614776611328,-32.7948303222656,-12.2721214294433,-32.285472869873,2114421342,,,,
brs,-29.545124053955,-29.5122909545898,-9.80369567871093,-20.9994468688964,2114438009,,,,
brs,-26.8655128479003,-29.4415893554687,-5.30426359176635,-2.74242115020751,2114454676,,,,
brs,-21.6355819702148,-29.1260986328125,15.1571350097656,2.58836269378662,2114471343,,,,
brs,-18.0273857116699,-29.5986347198486,39.2085914611816,5.98920679092407,2114488010,,,,
brs,-21.2364273071289,-29.9126605987548,14.1177625656127,9.31824302673339,2114504677,,,,
brs,-29.5344619750976,-27.3246898651123,-9.04593849182128,4.07673215866088,2114521344,,,,
brs,-40.886489868164006,-19.6737480163574,-15.9558334350585,-6.86824083328247,2114538011,,,,
brs,-49.798896789550696,-12.7932863235473,-3.2535548210144,-10.4126272201538,2114554678,,,,
brs,-55.4820861816406,-11.7078800201416,3.56991672515869,-2.34472298622131,2114571345,,,,
brs,-55.7927627563476,-12.0618305206298,10.8344850540161,-1.37469935417175,2114588012,,,,
brs,-52.1705322265625,-12.2156400680542,10.7828884124755,-3.09768724441528,2114604679,,,,
brs,-47.376411437988196,-11.2190732955932,8.44228363037109,-1.36316728591918,2114621346,,,,
brs,-43.563117980957,-9.70655632019043,-0.51736968755722,-0.897122323513031,2114638013,,,,
brs,-42.6710586547851,-8.99276065826416,-2.2162058353424,-1.74563121795654,2114654680,,,,
brs,-42.018455505371094,-8.55144214630127,0.572852492332458,0.504571199417114,2114671347,,,,
brs,-40.1861190795898,-8.28084659576416,4.01932573318481,1.06958150863647,2114688014,,,,
brs,-37.4580078125,-7.92674207687377,0.825770378112793,-0.625771164894104,2114704681,,,,
brs,-35.030448913574205,-7.56550693511962,-5.23566579818725,-0.224048614501953,2114721348,,,,
