Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
brs,8.287803,9.31279,18.4729538937499,-8.93958306261851,149739045
brs,8.639592,9.351398,14.829725458086134,-9.070116712790053,149755712
brs,9.212754,9.081123,10.482379139329906,-9.713830474818709,149772379
brs,9.712523,8.705736,6.193017581442202,-10.399661172017197,149789046
brs,9.313435,8.60387,2.0693300033940414,-11.138895847494076,149805713
brs,9.073458,8.545904,-1.7515097079301347,-11.911374672236546,149822380
brs,8.705816,8.277832,-5.103785370438157,-12.660113570738801,149839047
brs,8.344143,8.153564,-7.809259081761889,-13.297124073100358,149855714
brs,8.462051,8.208345,-9.706915161362781,-13.72000278110883,149872381
brs,8.685721,8.054081,-10.691081391616073,-13.836269166510297,149889048
brs,8.599393,7.466713,-10.749812997776845,-13.590614907277185,149905715
brs,8.478364,7.009983,-9.994466107649997,-12.989511357406382,149922382
brs,8.358807,6.774356,-8.672391521024968,-12.118045011095866,149939049
brs,8.19568,6.702518,-7.157402253419095,-11.145214447605422,149955716
brs,7.81457,6.817618,-5.916567682990971,-10.315870485642796,149972383
brs,7.4968,6.706645,-5.456247600147008,-9.929606154103661,149989050
brs,7.623601,6.415811,-6.254332603618586,-10.308840570111473,150005717
brs,7.4323,6.140933,-8.68868923617552,-11.759836393943871,150022384
brs,7.179847,5.946312,-12.97325386066546,-14.531321851412528,150039051
brs,7.006592,5.729094,-19.11274526083311,-18.775746142892412,150055718
brs,6.87437,5.41265,-26.88453847772645,-24.5180384499488,150072385
brs,6.584447,5.076792,-35.85216479407467,-31.636136236580786,150089052
brs,5.797923,4.510806,-45.40980351638808,-39.85654564007289,150105719
brs,4.970346,3.659446,-54.851886119391374,-48.766814834704896,150122386
brs,4.280191,2.631468,-63.457520701826766,-57.845059943392684,150139053
brs,2.937691,1.651596,-70.5767527700094,-66.50465191249906,150155720
brs,1.583507,0.677338,-75.70530487401186,-74.15001937793491,150172387
brs,0.194402,-0.38924,-78.53653252206063,-80.23753348793154,150189054
brs,-1.20165,-1.63876,-78.98353220334837,-84.33399595108978,150205721
brs,-2.27529,-3.07705,-77.16981097271184,-86.16474909655477,150222388
brs,-3.32198,-4.54642,-73.39255208989857,-85.6441710561025,150239055
brs,-4.46841,-5.86348,-68.06711798059631,-82.88340636044958,150255722
brs,-5.69308,-7.36882,-61.664076338899996,-78.17341916406525,150272389
brs,-6.39911,-8.71231,-54.65022357717819,-71.94534871403012,150289056
brs,-7.12133,-9.83887,-47.442885585754,-64.71397270837657,150305723
brs,-7.71563,-10.8714,-40.38281792238183,-57.01304507067268,150322390
brs,-8.36583,-11.5368,-33.726313231641335,-49.33268837841467,150339057
brs,-8.92551,-12.0369,-27.652795456907484,-42.06850741505281,150355724
brs,-9.41496,-12.513,-22.28123386569441,-35.48969199757087,150372391
brs,-9.8199,-12.9691,-17.687754543518853,-29.729577909461568,150389058
brs,-10.1672,-13.351,-13.91795065712914,-24.797759004445517,150405725
brs,-10.5979,-13.8731,-10.990161693170505,-20.608861301626842,150422392
brs,-10.7185,-14.345,-8.889581804289026,-17.020375277545636,150439059
brs,-10.4492,-14.841,-7.556477217307215,-13.871052820907705,150455726
brs,-10.3323,-15.1144,-6.874139580565332,-11.012412101699326,150472393
brs,-10.2163,-15.1917,-6.662882488338228,-8.328485921893567,150489060
brs,-10.5375,-15.2819,-6.685250639704182,-5.742362523476759,150505727
brs,-11.0853,-15.2126,-6.664963009819812,-3.2114080586021454,150522394
brs,-11.2771,-14.9888,-6.318625286763823,-0.7155122091650289,150539061
brs,-11.2415,-14.8848,-5.395782803484639,1.7562650564610236,150555728
brs,-11.2379,-14.8629,-3.720281377832829,4.215768597186446,150572395
brs,-11.1002,-14.8219,-1.2247842139236393,6.679419845433152,150589062
brs,-11.0677,-14.8765,2.029062364139384,9.16477538433013,150605729
brs,-11.2574,-14.9237,5.850025657183454,11.681635034650201,150622396
brs,-11.1899,-14.7992,9.937974233682723,14.221062887352074,150639063
brs,-10.8295,-14.4406,13.923620204780093,16.74632062260444,150655730
brs,-10.5625,-14.0009,17.421426644306067,19.189204275471702,150672397
brs,-10.3924,-13.6211,20.087169221263377,21.453843794355286,150689064
brs,-10.0938,-13.2659,21.670560845768865,23.42809786042245,150705731
brs,-9.6723,-12.8224,22.054016338417156,25.00075776137605,150722398
brs,-9.2899,-12.456,21.270924949427343,26.081308998590828,150739065
brs,-8.84558,-12.0534,19.500284262189787,26.618279255177992,150755732
brs,-8.42509,-11.6068,17.03858562923732,26.612323711187397,150772399
brs,-8.1421,-11.1821,14.253691704359323,26.121080927277493,150789066
brs,-8.03413,-10.8471,11.528418748458174,25.254263870216814,150805733
brs,-8.12114,-10.5347,9.203111018538095,24.1591567156851,150822400
brs,-8.04674,-10.1589,7.526419557271379,22.99838659982585,150839067
brs,-7.89049,-9.74014,6.621830480164231,21.92327598348393,150855734
brs,-7.71057,-9.30656,6.4745779552941665,21.047045152230748,150872401
brs,-7.5595,-8.92803,6.939992387275263,20.42246593867262,150889068
brs,-7.43789,-8.55824,7.770745961193559,20.0281684504141,150905735
brs,-7.34141,-8.2335,8.657507366298331,19.766655371929424,150922402
brs,-7.18315,-7.96504,9.275695018109973,19.475275514178378,150939069
brs,-7.0697,-7.7258,9.330574327933862,18.949173363288914,150955736
brs,-6.87513,-7.64745,8.59385699384335,17.972918196677703,150972403
brs,-6.68416,-7.48647,6.926956012382139,16.355569498212905,150989070
brs,-6.57253,-7.09259,4.288678604135313,13.962809911786291,151005737
brs,-6.48703,-6.78385,0.727875962655736,10.739829230922055,151022404
brs,-6.5975,-6.47633,-3.636075098880557,6.720020386017669,151039071
brs,-6.78933,-6.34551,-8.640469538391098,2.017112289463167,151055738
brs,-6.95742,-6.37985,-14.108969645023725,-3.1983237816258856,151072405
brs,-7.16388,-6.43995,-19.878837446711447,-8.733670192559174,151089072
